test,can_id,step,goal_before,goal_after,rise_time,settling_time,overshoot_pct,ss_error,t_rise_start,t_rise_end,t_settled
TEST1,2,1,0.0,-6.518790807149154,,3.0236101150512695,100.0,-8.850904997012359,,,3.121079683303833
TEST1,3,1,0.0,3.2622961454427006,,3.025160789489746,17.238245440351964,2.229084198955274,2.778688907623291,,3.124540328979492
TEST1,4,1,0.0,-13.043383098034555,,3.1138808727264404,100.0,-15.553154430179292,,,3.1138808727264404
TEST2,2,35,-8.862984014904118,-8.916818857160326,,3.976962089538574,16563.28593798762,-10.14319120145551,,,441.83429527282715
TEST2,3,32,2.96999054855162,2.9934702676209444,0.0,3.9075138568878174,10033.348254945606,1.544509344962501,441.5006079673767,441.5006079673767,441.76776099205017
