ts,can_id,goal,speedmode,t
1772875677.987122,2,-4.376739001253586,True,0.0
1772875677.9894834,3,2.6062992125984255,True,0.002361297607421875
1772875677.991518,4,-9.589337426450436,True,0.004395961761474609
1772875678.0838397,1,-2.6062992125984255,True,0.09671759605407715
1772875678.0858037,2,-4.419484754538862,True,0.09868168830871582
1772875678.0878344,3,2.6062992125984255,True,0.10071229934692383
1772875678.0897462,4,-9.632083179735714,True,0.10262417793273926
1772875678.1835418,1,-2.6062992125984255,True,0.19641971588134766
1772875678.186134,2,-4.437672127364683,True,0.19901204109191895
1772875678.1884954,3,2.6062992125984255,True,0.20137333869934082
1772875678.1901007,4,-9.650270552561535,True,0.20297861099243164
1772875678.283318,1,-2.6062992125984255,True,0.29619598388671875
1772875678.2850184,2,-4.443635513458757,True,0.2978963851928711
1772875678.2868786,3,2.6062992125984255,True,0.2997565269470215
1772875678.288623,4,-9.656233938655607,True,0.3015010356903076
1772875678.383722,1,-2.6062992125984255,True,0.39660000801086426
1772875678.3854868,2,-4.4413174909692295,True,0.398364782333374
1772875678.3870385,3,2.6062992125984255,True,0.399916410446167
1772875678.3890307,4,-9.65391591616608,True,0.40190863609313965
1772875678.483508,1,-2.6062992125984255,True,0.4963860511779785
1772875678.4854052,2,-4.46265587030115,True,0.49828314781188965
1772875678.4873447,3,2.6062992125984255,True,0.5002226829528809
1772875678.4896212,4,-9.675254295498,True,0.5024991035461426
1772875678.5834413,1,-2.6062992125984255,True,0.5963191986083984
1772875678.5852547,2,-4.46393812115908,True,0.5981326103210449
1772875678.5871766,3,2.6062992125984255,True,0.6000545024871826
1772875678.588886,4,-9.676536546355932,True,0.6017639636993408
1772875678.683455,1,-2.6062992125984255,True,0.6963329315185547
1772875678.685138,2,-4.466956254444009,True,0.6980159282684326
1772875678.687029,3,2.6062992125984255,True,0.6999068260192871
1772875678.6886992,4,-9.67955467964086,True,0.7015771865844727
1772875678.7835295,1,-2.6062992125984255,True,0.7964074611663818
1772875678.7851782,2,-4.468938420487357,True,0.7980561256408691
1772875678.787296,3,2.6062992125984255,True,0.8001739978790283
1772875678.7889028,4,-9.681536845684207,True,0.8017807006835938
1772875678.8832715,1,-2.6062992125984255,True,0.8961493968963623
1772875678.884889,2,-4.45759383652036,True,0.8977668285369873
1772875678.8866935,3,2.6062992125984255,True,0.899571418762207
1772875678.8883297,4,-9.670192261717212,True,0.901207685470581
1772875678.9832408,1,-2.6062992125984255,True,0.9961187839508057
1772875678.9848974,2,-4.443407506065137,True,0.9977753162384033
1772875678.986645,3,2.6062992125984255,True,0.9995229244232178
1772875678.9886541,4,-9.656005931261987,True,1.0015320777893066
1772875679.0831873,1,-2.6062992125984255,True,1.0960652828216553
1772875679.0848079,2,-4.431472047148853,True,1.0976858139038086
1772875679.0864787,3,2.6062992125984255,True,1.0993566513061523
1772875679.0883985,4,-9.644070472345705,True,1.1012763977050781
1772875679.183398,1,-2.6062992125984255,True,1.1962759494781494
1772875679.185051,2,-4.43460579064684,True,1.1979289054870605
1772875679.1866693,3,2.6062992125984255,True,1.199547290802002
1772875679.1885242,4,-9.647204215843692,True,1.201402187347412
1772875679.28451,1,-2.6062992125984255,True,1.2973878383636475
1772875679.2862186,2,-4.423469520008755,True,1.2990965843200684
1772875679.2882864,3,2.6062992125984255,True,1.3011643886566162
1772875679.2899106,4,-9.636067945205605,True,1.302788496017456
1772875679.3833015,1,-2.6062992125984255,True,1.396179437637329
1772875679.3850288,2,-4.425086661652122,True,1.39790678024292
1772875679.3867507,3,2.6062992125984255,True,1.3996286392211914
1772875679.3883073,4,-9.637685086848972,True,1.4011852741241455
1772875679.4832766,1,-2.6062992125984255,True,1.496154546737671
1772875679.4849021,2,-4.403084119000523,True,1.4977800846099854
1772875679.486828,3,2.6062992125984255,True,1.4997060298919678
1772875679.489237,4,-9.615682544197373,True,1.50211501121521
1772875679.5835598,1,-2.6062992125984255,True,1.596437692642212
1772875679.5852757,2,-4.403084119000523,True,1.5981535911560059
1772875679.5871923,3,2.6062992125984255,True,1.6000702381134033
1772875679.5891821,4,-9.615682544197373,True,1.602060079574585
1772875679.6839204,1,-2.6062992125984255,True,1.696798324584961
1772875679.6856384,2,-4.403084119000523,True,1.6985163688659668
1772875679.687476,3,2.6062992125984255,True,1.7003538608551025
1772875679.6889691,4,-9.615682544197373,True,1.7018470764160156
1772875679.7834895,1,-2.6062992125984255,True,1.7963674068450928
1772875679.7852712,2,-4.403084119000523,True,1.7981491088867188
1772875679.787257,3,2.6062992125984255,True,1.8001348972320557
1772875679.7893906,4,-9.615682544197373,True,1.8022685050964355
1772875679.8843267,1,-2.6062992125984255,True,1.8972046375274658
1772875679.8860981,2,-4.403084119000523,True,1.8989760875701904
1772875679.88763,3,2.6062992125984255,True,1.900507926940918
1772875679.8891978,4,-9.615682544197373,True,1.9020757675170898
1772875679.9837523,1,-2.6062992125984255,True,1.9966301918029785
1772875679.9855518,2,-4.403084119000523,True,1.998429775238037
1772875679.9873662,3,2.6062992125984255,True,2.000244140625
1772875679.9889042,4,-9.615682544197373,True,2.001782178878784
1772875680.0835583,1,-2.6062992125984255,True,2.0964362621307373
1772875680.0851972,2,-4.403084119000523,True,2.0980751514434814
1772875680.0869687,3,2.6062992125984255,True,2.099846601486206
1772875680.0885513,4,-9.615682544197373,True,2.1014292240142822
1772875680.1833107,1,-2.6062992125984255,True,2.1961886882781982
1772875680.1860201,2,-4.403084119000523,True,2.1988980770111084
1772875680.1879926,3,2.6062992125984255,True,2.2008705139160156
1772875680.1900232,4,-9.615682544197373,True,2.2029011249542236
1772875680.2834516,1,-2.6062992125984255,True,2.2963294982910156
1772875680.285473,2,-4.403084119000523,True,2.2983510494232178
1772875680.2878513,3,2.6062992125984255,True,2.300729274749756
1772875680.2894351,4,-9.615682544197373,True,2.3023130893707275
1772875680.3833907,1,-2.6062992125984255,True,2.396268606185913
1772875680.3850908,2,-4.403084119000523,True,2.3979687690734863
1772875680.3870041,3,2.6062992125984255,True,2.3998820781707764
1772875680.3888152,4,-9.615682544197373,True,2.401693105697632
1772875680.483632,1,-2.6062992125984255,True,2.4965100288391113
1772875680.48538,2,-4.403084119000523,True,2.498257875442505
1772875680.4870007,3,2.6062992125984255,True,2.4998786449432373
1772875680.4889112,4,-9.615682544197373,True,2.501789093017578
1772875680.5834892,1,-2.6062992125984255,True,2.596367120742798
1772875680.5852516,2,-4.403084119000523,True,2.5981295108795166
1772875680.5869815,3,2.6062992125984255,True,2.5998594760894775
1772875680.5893912,4,-9.615682544197373,True,2.602269172668457
